Sexo	Edad	Provincias	Periodo	Total
Ambos sexos	Total	11 Cádiz	2015	1247823
Ambos sexos	Total	11 Cádiz	2014	1247710
Ambos sexos	Total	11 Cádiz	2013	1247150
Ambos sexos	Total	11 Cádiz	2012	1245778
Ambos sexos	Total	11 Cádiz	2011	1242290
Ambos sexos	Total	11 Cádiz	2010	1234074
Ambos sexos	Total	11 Cádiz	2009	1225259
Ambos sexos	Total	11 Cádiz	2008	1215173
Ambos sexos	Total	11 Cádiz	2007	1201290
Ambos sexos	Total	11 Cádiz	2006	1184864
Ambos sexos	Total	11 Cádiz	2005	1168216
Ambos sexos	Total	39 Cantabria	2018	580971
Ambos sexos	Total	39 Cantabria	2017	580927
Ambos sexos	Total	39 Cantabria	2016	581421
Ambos sexos	Total	39 Cantabria	2015	583549
Ambos sexos	Total	39 Cantabria	2014	586240
Ambos sexos	Total	39 Cantabria	2013	588538
Ambos sexos	Total	39 Cantabria	2012	591083
Ambos sexos	Total	39 Cantabria	2011	591564
Ambos sexos	Total	39 Cantabria	2010	589603
Ambos sexos	Total	39 Cantabria	2009	586778
Ambos sexos	Total	39 Cantabria	2008	581160
Ambos sexos	Total	39 Cantabria	2007	572557
Ambos sexos	Total	39 Cantabria	2006	564188
Ambos sexos	Total	39 Cantabria	2005	557962
Ambos sexos	Total	12 Castellón/Castelló	2018	569297
Ambos sexos	Total	12 Castellón/Castelló	2017	568514
Ambos sexos	Total	12 Castellón/Castelló	2016	569948
Ambos sexos	Total	12 Castellón/Castelló	2015	572229
Ambos sexos	Total	12 Castellón/Castelló	2014	575440
Ambos sexos	Total	12 Castellón/Castelló	2013	581478
Ambos sexos	Total	12 Castellón/Castelló	2012	589792
Ambos sexos	Total	12 Castellón/Castelló	2011	594524
Ambos sexos	Total	12 Castellón/Castelló	2010	595086
Ambos sexos	Total	12 Castellón/Castelló	2009	595415
Ambos sexos	Total	12 Castellón/Castelló	2008	592164
Ambos sexos	Total	12 Castellón/Castelló	2007	578042
Ambos sexos	Total	12 Castellón/Castelló	2006	556560
Ambos sexos	Total	12 Castellón/Castelló	2005	540413
Ambos sexos	Total	13 Ciudad Real	2018	495716
Ambos sexos	Total	13 Ciudad Real	2017	500274
Ambos sexos	Total	13 Ciudad Real	2016	505961
Ambos sexos	Total	13 Ciudad Real	2015	510953
Ambos sexos	Total	13 Ciudad Real	2014	515973
Ambos sexos	Total	13 Ciudad Real	2013	520292
Ambos sexos	Total	13 Ciudad Real	2012	524145
Ambos sexos	Total	13 Ciudad Real	2011	526269
Ambos sexos	Total	13 Ciudad Real	2010	525418
Ambos sexos	Total	13 Ciudad Real	2009	524750
Ambos sexos	Total	13 Ciudad Real	2008	521681
Ambos sexos	Total	13 Ciudad Real	2007	514761
Ambos sexos	Total	13 Ciudad Real	2006	504642
Ambos sexos	Total	13 Ciudad Real	2005	497390
Ambos sexos	Total	14 Córdoba	2018	784593
Ambos sexos	Total	14 Córdoba	2017	787839
Ambos sexos	Total	14 Córdoba	2016	790873
Ambos sexos	Total	14 Córdoba	2015	793543
Ambos sexos	Total	14 Córdoba	2014	796660
Ambos sexos	Total	14 Córdoba	2013	799002
Ambos sexos	Total	14 Córdoba	2012	801413
Ambos sexos	Total	14 Córdoba	2011	802112
Ambos sexos	Total	14 Córdoba	2010	800839
Ambos sexos	Total	14 Córdoba	2009	798522
Ambos sexos	Total	14 Córdoba	2008	794995
Ambos sexos	Total	14 Córdoba	2007	789302
Ambos sexos	Total	14 Córdoba	2006	783072
Ambos sexos	Total	14 Córdoba	2005	778282
Ambos sexos	Total	15 Coruña, A	2018	1120355
Ambos sexos	Total	15 Coruña, A	2017	1119996
Ambos sexos	Total	15 Coruña, A	2016	1121973
Ambos sexos	Total	15 Coruña, A	2015	1125530
Ambos sexos	Total	15 Coruña, A	2014	1130242
Ambos sexos	Total	15 Coruña, A	2013	1135455
Ambos sexos	Total	15 Coruña, A	2012	1139565
Ambos sexos	Total	15 Coruña, A	2011	1139993
Ambos sexos	Total	15 Coruña, A	2010	1138880
Ambos sexos	Total	15 Coruña, A	2009	1136243
Ambos sexos	Total	15 Coruña, A	2008	1131381
Ambos sexos	Total	15 Coruña, A	2007	1124796
Ambos sexos	Total	15 Coruña, A	2006	1117387
Ambos sexos	Total	15 Coruña, A	2005	1111830
Ambos sexos	Total	16 Cuenca	2018	199918
Ambos sexos	Total	16 Cuenca	2017	201087
Ambos sexos	Total	16 Cuenca	2016	202823
Ambos sexos	Total	16 Cuenca	2015	205033
Ambos sexos	Total	16 Cuenca	2014	207465
Ambos sexos	Total	16 Cuenca	2013	209977
Ambos sexos	Total	16 Cuenca	2012	213091
Ambos sexos	Total	16 Cuenca	2011	215635
Ambos sexos	Total	16 Cuenca	2010	216227
Ambos sexos	Total	16 Cuenca	2009	216447
Ambos sexos	Total	16 Cuenca	2008	215493
Ambos sexos	Total	16 Cuenca	2007	213153
Ambos sexos	Total	16 Cuenca	2006	209173
Ambos sexos	Total	16 Cuenca	2005	206954
Ambos sexos	Total	20 Gipuzkoa	2018	710796
Ambos sexos	Total	20 Gipuzkoa	2017	708877
Ambos sexos	Total	20 Gipuzkoa	2016	708249
Ambos sexos	Total	20 Gipuzkoa	2015	707153
Ambos sexos	Total	20 Gipuzkoa	2014	707019
Ambos sexos	Total	20 Gipuzkoa	2013	707030
Ambos sexos	Total	20 Gipuzkoa	2012	708042
Ambos sexos	Total	20 Gipuzkoa	2011	707572
Ambos sexos	Total	20 Gipuzkoa	2010	706424
Ambos sexos	Total	20 Gipuzkoa	2009	704971
Ambos sexos	Total	20 Gipuzkoa	2008	701694
Ambos sexos	Total	20 Gipuzkoa	2007	696153
Ambos sexos	Total	20 Gipuzkoa	2006	690402
Ambos sexos	Total	20 Gipuzkoa	2005	686091
Ambos sexos	Total	17 Girona	2018	752508
Ambos sexos	Total	17 Girona	2017	747362
Ambos sexos	Total	17 Girona	2016	742558
Ambos sexos	Total	17 Girona	2015	740425
Ambos sexos	Total	17 Girona	2014	741072
Ambos sexos	Total	17 Girona	2013	746079
Ambos sexos	Total	17 Girona	2012	750313
Ambos sexos	Total	17 Girona	2011	749496
Ambos sexos	Total	17 Girona	2010	744267
Ambos sexos	Total	17 Girona	2009	739368
Ambos sexos	Total	17 Girona	2008	729156
Ambos sexos	Total	17 Girona	2007	707568
Ambos sexos	Total	17 Girona	2006	681316
Ambos sexos	Total	17 Girona	2005	658351
Ambos sexos	Total	18 Granada	2018	917849
Ambos sexos	Total	18 Granada	2017	916503
Ambos sexos	Total	18 Granada	2016	916767
Ambos sexos	Total	18 Granada	2015	917814
Ambos sexos	Total	18 Granada	2014	919248
Ambos sexos	Total	18 Granada	2013	920898
Ambos sexos	Total	18 Granada	2012	922125
Ambos sexos	Total	18 Granada	2011	920886
Ambos sexos	Total	18 Granada	2010	917503
Ambos sexos	Total	18 Granada	2009	912113
Ambos sexos	Total	18 Granada	2008	905039
Ambos sexos	Total	18 Granada	2007	892646
Ambos sexos	Total	18 Granada	2006	877466
Ambos sexos	Total	18 Granada	2005	864205
Ambos sexos	Total	19 Guadalajara	2018	256961
Ambos sexos	Total	19 Guadalajara	2017	255528
Ambos sexos	Total	19 Guadalajara	2016	254429
Ambos sexos	Total	19 Guadalajara	2015	254061
Ambos sexos	Total	19 Guadalajara	2014	254649
Ambos sexos	Total	19 Guadalajara	2013	255890
Ambos sexos	Total	19 Guadalajara	2012	257422
Ambos sexos	Total	19 Guadalajara	2011	256349
Ambos sexos	Total	19 Guadalajara	2010	252384
Ambos sexos	Total	19 Guadalajara	2009	248252
Ambos sexos	Total	19 Guadalajara	2008	241834
Ambos sexos	Total	19 Guadalajara	2007	231949
Ambos sexos	Total	19 Guadalajara	2006	218689
Ambos sexos	Total	19 Guadalajara	2005	207742
Ambos sexos	Total	21 Huelva	2018	523214
Ambos sexos	Total	21 Huelva	2017	521611
Ambos sexos	Total	21 Huelva	2016	521382
Ambos sexos	Total	21 Huelva	2015	521738
Ambos sexos	Total	21 Huelva	2014	521617
Ambos sexos	Total	21 Huelva	2013	521275
Ambos sexos	Total	21 Huelva	2012	520209
Ambos sexos	Total	21 Huelva	2011	519166
Ambos sexos	Total	21 Huelva	2010	516786
Ambos sexos	Total	21 Huelva	2009	512921
Ambos sexos	Total	21 Huelva	2008	507530
Ambos sexos	Total	21 Huelva	2007	501430
Ambos sexos	Total	21 Huelva	2006	491972
Ambos sexos	Total	21 Huelva	2005	485191
Ambos sexos	Total	22 Huesca	2018	218965
Ambos sexos	Total	22 Huesca	2017	219171
Ambos sexos	Total	22 Huesca	2016	219975
Ambos sexos	Total	22 Huesca	2015	221168
Ambos sexos	Total	22 Huesca	2014	222697
Ambos sexos	Total	22 Huesca	2013	223872
Ambos sexos	Total	22 Huesca	2012	225077
Ambos sexos	Total	22 Huesca	2011	226090
Ambos sexos	Total	22 Huesca	2010	226740
Ambos sexos	Total	22 Huesca	2009	226693
Ambos sexos	Total	22 Huesca	2008	225969
Ambos sexos	Total	22 Huesca	2007	221964
Ambos sexos	Total	22 Huesca	2006	218400
Ambos sexos	Total	22 Huesca	2005	215898
Ambos sexos	Total	23 Jaén	2018	633900
Ambos sexos	Total	23 Jaén	2017	638992
Ambos sexos	Total	23 Jaén	2016	643987
Ambos sexos	Total	23 Jaén	2015	648938
Ambos sexos	Total	23 Jaén	2014	653886
Ambos sexos	Total	23 Jaén	2013	658482
Ambos sexos	Total	23 Jaén	2012	664448
Ambos sexos	Total	23 Jaén	2011	667614
Ambos sexos	Total	23 Jaén	2010	666554
Ambos sexos	Total	23 Jaén	2009	665713
Ambos sexos	Total	23 Jaén	2008	664211
Ambos sexos	Total	23 Jaén	2007	661708
Ambos sexos	Total	23 Jaén	2006	657787
Ambos sexos	Total	23 Jaén	2005	655081
Ambos sexos	Total	24 León	2018	463724
Ambos sexos	Total	24 León	2017	467719
Ambos sexos	Total	24 León	2016	472361
Ambos sexos	Total	24 León	2015	477199
Ambos sexos	Total	24 León	2014	481955
Ambos sexos	Total	24 León	2013	486764
Ambos sexos	Total	24 León	2012	490667
Ambos sexos	Total	24 León	2011	493434
Ambos sexos	Total	24 León	2010	494201
Ambos sexos	Total	24 León	2009	494840
Ambos sexos	Total	24 León	2008	494547
Ambos sexos	Total	24 León	2007	492335
Ambos sexos	Total	24 León	2006	489753
Ambos sexos	Total	24 León	2005	487687
Ambos sexos	Total	25 Lleida	2018	429400
Ambos sexos	Total	25 Lleida	2017	428703
Ambos sexos	Total	25 Lleida	2016	428644
Ambos sexos	Total	25 Lleida	2015	429600
Ambos sexos	Total	25 Lleida	2014	431200
Ambos sexos	Total	25 Lleida	2013	433779
Ambos sexos	Total	25 Lleida	2012	437075
Ambos sexos	Total	25 Lleida	2011	437306
Ambos sexos	Total	25 Lleida	2010	434853
Ambos sexos	Total	25 Lleida	2009	432727
Ambos sexos	Total	25 Lleida	2008	427956
Ambos sexos	Total	25 Lleida	2007	417241
Ambos sexos	Total	25 Lleida	2006	405636
Ambos sexos	Total	25 Lleida	2005	397386
Ambos sexos	Total	27 Lugo	2018	329850
Ambos sexos	Total	27 Lugo	2017	332400
Ambos sexos	Total	27 Lugo	2016	334713
Ambos sexos	Total	27 Lugo	2015	337169
Ambos sexos	Total	27 Lugo	2014	340108
Ambos sexos	Total	27 Lugo	2013	343053
Ambos sexos	Total	27 Lugo	2012	346057
Ambos sexos	Total	27 Lugo	2011	348524
Ambos sexos	Total	27 Lugo	2010	349925
Ambos sexos	Total	27 Lugo	2009	351628
Ambos sexos	Total	27 Lugo	2008	352170
Ambos sexos	Total	27 Lugo	2007	352358
Ambos sexos	Total	27 Lugo	2006	352160
Ambos sexos	Total	27 Lugo	2005	352787
Ambos sexos	Total	28 Madrid	2018	6586681
Ambos sexos	Total	28 Madrid	2017	6504797
Ambos sexos	Total	28 Madrid	2016	6445484
Ambos sexos	Total	28 Madrid	2015	6401162
Ambos sexos	Total	28 Madrid	2014	6376749
Ambos sexos	Total	28 Madrid	2013	6392713
Ambos sexos	Total	28 Madrid	2012	6426229
Ambos sexos	Total	28 Madrid	2011	6409093
Ambos sexos	Total	28 Madrid	2010	6384358
Ambos sexos	Total	28 Madrid	2009	6354091
Ambos sexos	Total	28 Madrid	2008	6283747
Ambos sexos	Total	28 Madrid	2007	6152759
Ambos sexos	Total	28 Madrid	2006	6003925
Ambos sexos	Total	28 Madrid	2005	5912335
Ambos sexos	Total	29 Málaga	2018	1650111
Ambos sexos	Total	29 Málaga	2017	1645401
Ambos sexos	Total	29 Málaga	2016	1643219
Ambos sexos	Total	29 Málaga	2015	1635082
Ambos sexos	Total	29 Málaga	2014	1624647
Ambos sexos	Total	29 Málaga	2013	1613953
Ambos sexos	Total	29 Málaga	2012	1604584
Ambos sexos	Total	29 Málaga	2011	1588036
Ambos sexos	Total	29 Málaga	2010	1572991
Ambos sexos	Total	29 Málaga	2009	1559580
Ambos sexos	Total	29 Málaga	2008	1543169
Ambos sexos	Total	29 Málaga	2007	1510399
Ambos sexos	Total	29 Málaga	2006	1473511
Ambos sexos	Total	29 Málaga	2005	1438401
Ambos sexos	Total	30 Murcia	2018	1479023
Ambos sexos	Total	30 Murcia	2017	1473611
Ambos sexos	Total	30 Murcia	2016	1468723
Ambos sexos	Total	30 Murcia	2015	1464014
Ambos sexos	Total	30 Murcia	2014	1462881
Ambos sexos	Total	30 Murcia	2013	1461214
Ambos sexos	Total	30 Murcia	2012	1461256
Ambos sexos	Total	30 Murcia	2011	1461107
Ambos sexos	Total	30 Murcia	2010	1456521
Ambos sexos	Total	30 Murcia	2009	1448479
Ambos sexos	Total	30 Murcia	2008	1431501
Ambos sexos	Total	30 Murcia	2007	1404885
Ambos sexos	Total	30 Murcia	2006	1367430
Ambos sexos	Total	30 Murcia	2005	1335288
Ambos sexos	Total	31 Navarra	2018	646148
Ambos sexos	Total	31 Navarra	2017	640967
Ambos sexos	Total	31 Navarra	2016	638204
Ambos sexos	Total	31 Navarra	2015	636253
Ambos sexos	Total	31 Navarra	2014	636003
Ambos sexos	Total	31 Navarra	2013	637020
Ambos sexos	Total	31 Navarra	2012	639374
Ambos sexos	Total	31 Navarra	2011	638581
Ambos sexos	Total	31 Navarra	2010	634983
Ambos sexos	Total	31 Navarra	2009	630109
Ambos sexos	Total	31 Navarra	2008	621976
Ambos sexos	Total	31 Navarra	2007	609776
Ambos sexos	Total	31 Navarra	2006	596637
Ambos sexos	Total	31 Navarra	2005	587922
Ambos sexos	Total	32 Ourense	2018	308036
Ambos sexos	Total	32 Ourense	2017	309947
Ambos sexos	Total	32 Ourense	2016	312788
Ambos sexos	Total	32 Ourense	2015	316284
Ambos sexos	Total	32 Ourense	2014	320191
Ambos sexos	Total	32 Ourense	2013	323276
Ambos sexos	Total	32 Ourense	2012	326404
Ambos sexos	Total	32 Ourense	2011	329000
Ambos sexos	Total	32 Ourense	2010	330526
Ambos sexos	Total	32 Ourense	2009	331710
Ambos sexos	Total	32 Ourense	2008	332235
Ambos sexos	Total	32 Ourense	2007	332897
Ambos sexos	Total	32 Ourense	2006	333386
Ambos sexos	Total	32 Ourense	2005	334415
Ambos sexos	Total	34 Palencia	2018	161168
Ambos sexos	Total	34 Palencia	2017	162202
Ambos sexos	Total	34 Palencia	2016	163592
Ambos sexos	Total	34 Palencia	2015	164868
Ambos sexos	Total	34 Palencia	2014	166524
Ambos sexos	Total	34 Palencia	2013	167880
Ambos sexos	Total	34 Palencia	2012	169491
Ambos sexos	Total	34 Palencia	2011	170819
Ambos sexos	Total	34 Palencia	2010	171543
Ambos sexos	Total	34 Palencia	2009	172358
Ambos sexos	Total	34 Palencia	2008	172703
Ambos sexos	Total	34 Palencia	2007	172739
Ambos sexos	Total	34 Palencia	2006	172400
Ambos sexos	Total	34 Palencia	2005	172155
Ambos sexos	Total	35 Palmas, Las	2018	1131683
Ambos sexos	Total	35 Palmas, Las	2017	1121900
Ambos sexos	Total	35 Palmas, Las	2016	1113861
Ambos sexos	Total	35 Palmas, Las	2015	1107344
Ambos sexos	Total	35 Palmas, Las	2014	1102392
Ambos sexos	Total	35 Palmas, Las	2013	1098881
Ambos sexos	Total	35 Palmas, Las	2012	1092396
Ambos sexos	Total	35 Palmas, Las	2011	1082604
Ambos sexos	Total	35 Palmas, Las	2010	1070800
Ambos sexos	Total	35 Palmas, Las	2009	1061052
Ambos sexos	Total	35 Palmas, Las	2008	1048847
Ambos sexos	Total	35 Palmas, Las	2007	1027754
Ambos sexos	Total	35 Palmas, Las	2006	1003280
Ambos sexos	Total	35 Palmas, Las	2005	979761
Ambos sexos	Total	36 Pontevedra	2018	940761
Ambos sexos	Total	36 Pontevedra	2017	941075
Ambos sexos	Total	36 Pontevedra	2016	943515
Ambos sexos	Total	36 Pontevedra	2015	946108
Ambos sexos	Total	36 Pontevedra	2014	948790
Ambos sexos	Total	36 Pontevedra	2013	951446
Ambos sexos	Total	36 Pontevedra	2012	953721
Ambos sexos	Total	36 Pontevedra	2011	954133
Ambos sexos	Total	36 Pontevedra	2010	952419
Ambos sexos	Total	36 Pontevedra	2009	949561
Ambos sexos	Total	36 Pontevedra	2008	944201
Ambos sexos	Total	36 Pontevedra	2007	937033
Ambos sexos	Total	36 Pontevedra	2006	930442
Ambos sexos	Total	36 Pontevedra	2005	924929
Ambos sexos	Total	26 Rioja, La	2018	312682
Ambos sexos	Total	26 Rioja, La	2017	312394
Ambos sexos	Total	26 Rioja, La	2016	312635
Ambos sexos	Total	26 Rioja, La	2015	312834
Ambos sexos	Total	26 Rioja, La	2014	314079
Ambos sexos	Total	26 Rioja, La	2013	316825
Ambos sexos	Total	26 Rioja, La	2012	320081
Ambos sexos	Total	26 Rioja, La	2011	321050
Ambos sexos	Total	26 Rioja, La	2010	319888
Ambos sexos	Total	26 Rioja, La	2009	319786
Ambos sexos	Total	26 Rioja, La	2008	318448
Ambos sexos	Total	26 Rioja, La	2007	312369
Ambos sexos	Total	26 Rioja, La	2006	304870
Ambos sexos	Total	26 Rioja, La	2005	300594
Ambos sexos	Total	37 Salamanca	2018	332682
Ambos sexos	Total	37 Salamanca	2017	334344
Ambos sexos	Total	37 Salamanca	2016	337080
Ambos sexos	Total	37 Salamanca	2015	339982
Ambos sexos	Total	37 Salamanca	2014	343071
Ambos sexos	Total	37 Salamanca	2013	345721
Ambos sexos	Total	37 Salamanca	2012	348349
Ambos sexos	Total	37 Salamanca	2011	350206
Ambos sexos	Total	37 Salamanca	2010	350888
Ambos sexos	Total	37 Salamanca	2009	350954
Ambos sexos	Total	37 Salamanca	2008	350463
Ambos sexos	Total	37 Salamanca	2007	348602
Ambos sexos	Total	37 Salamanca	2006	346862
Ambos sexos	Total	37 Salamanca	2005	346204
Ambos sexos	Total	38 Santa Cruz de Tenerife	2018	1056632
Ambos sexos	Total	38 Santa Cruz de Tenerife	2017	1041190
Ambos sexos	Total	38 Santa Cruz de Tenerife	2016	1028389
Ambos sexos	Total	38 Santa Cruz de Tenerife	2015	1020426
